NO.1:	25+5=
NO.2:	65+96=
NO.3:	65-91=
NO.4:	63-98=
NO.5:	16+72=
NO.6:	82-87=
NO.7:	28+94=
NO.8:	9-83=
NO.9:	65-31=
NO.10:	0-32=
NO.11:	7+100=
NO.12:	67+49=
NO.13:	25-76=
NO.14:	34-27=
NO.15:	46+52=
NO.16:	50+29=
NO.17:	22+37=
NO.18:	79-67=
NO.19:	45-10=
NO.20:	59-25=
NO.21:	91+73=
NO.22:	86+46=
NO.23:	38-37=
NO.24:	40+100=
NO.25:	40-71=
NO.26:	34-29=
NO.27:	29-1=
NO.28:	10-11=
NO.29:	8+12=
NO.30:	22-37=
NO.31:	64-82=
NO.32:	8+35=
NO.33:	27+91=
NO.34:	100+65=
NO.35:	20-90=
NO.36:	74-15=
NO.37:	9+66=
NO.38:	66-89=
NO.39:	58-97=
NO.40:	28+18=
NO.41:	19+84=
NO.42:	59+50=
NO.43:	87+33=
NO.44:	71+38=
NO.45:	34-84=
NO.46:	23-87=
NO.47:	45-99=
NO.48:	93+62=
NO.49:	0+11=
NO.50:	99+43=
